review_order,review_batch,priority_tier,nct_id,brief_title,screening_basis,verification_focus,registry_url,human_screening,human_screening_reason,needs_deeper_review
61,B04,2_dual_model_agreement,NCT04596592,Pubertal Blockade and Estradiol Effects on Cardiometabolic Health for Transitioning Youth,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04596592,include,Explicit transgender youth population; cardiometabolic outcomes are measured around estradiol GAHT initiation.,
62,B04,2_dual_model_agreement,NCT04616963,Emtricitabine/Tenofovir Alafenamide Switch Study for Transgender Individuals for HIV Pre-exposure Prophylaxis,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04616963,include,PrEP pharmacology is explicitly compared in TGD participants using versus not using GAHT.,
63,B04,2_dual_model_agreement,NCT04736797,Transition in Transgender,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04736797,include,Longitudinal outcomes are measured before and after initiation of gender-affirming hormone therapy.,
64,B04,2_dual_model_agreement,NCT04742491,Pre-Exposure Prophylaxis for Transgender Women in the US and South America,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04742491,include,Gender-affirming hormone therapy is integrated into the PrEP intervention and medical monitoring strategy.,
65,B04,2_dual_model_agreement,NCT04742816,Renal Effects of Hormones/Biomarkers in Transgender PrEP Recipients,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04742816,include,Exogenous hormone exposure and concentrations are explicitly analyzed with renal biomarkers and PrEP pharmacology.,
66,B04,2_dual_model_agreement,NCT04760691,Pre-Exposure Prophylaxis (PrEP)- Gender Affirming Hormone Therapy (GAHT) Interactions in TGW,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04760691,include,PrEP-GAHT pharmacokinetic and pharmacodynamic interactions are directly investigated.,
67,B04,2_dual_model_agreement,NCT04838249,"Effects of Cross-sex Hormone Therapy on Eating Behavior, Metabolism, Energy Balance and Cardiovascular System",Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04838249,include,Metabolic and physiologic outcomes are explicitly measured around initiation of cross-sex hormone therapy.,
68,B04,2_dual_model_agreement,NCT04922424,Mechanisms and Interventions to Address Cardiovascular Risk of Gender-affirming Hormone Therapy in Trans Men,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04922424,include,The registered research question directly concerns cardiovascular effects and risks of testosterone GAHT in trans men.,
69,B04,2_dual_model_agreement,NCT04971447,Extracellular Vesicles and Endothelial Function in Transgender Subjects,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04971447,include,Endothelial outcomes are studied in relation to testosterone or feminizing hormone treatment in transgender participants.,
70,B04,2_dual_model_agreement,NCT04977765,Cardiometabolic Health in Transgender Males,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04977765,include,Cardiometabolic outcomes are measured longitudinally after gender-affirming testosterone therapy.,
