review_order,review_batch,priority_tier,nct_id,brief_title,screening_basis,verification_focus,registry_url,human_screening,human_screening_reason,needs_deeper_review
81,B05,2_dual_model_agreement,NCT05469204,Effect of Estrogen Treatment on Drug Metabolism and Transport,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT05469204,include,Estradiol GAHT effects on drug metabolism and transport are directly studied.,
82,B05,2_dual_model_agreement,NCT05487794,Effect of Dose Fractionation of Testosterone Cypionate on Transgender Men with Erythrocytosis,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT05487794,include,Testosterone cypionate dosing strategies are directly compared for GAHT-associated erythrocytosis.,
83,B05,2_dual_model_agreement,NCT05489159,Sleep and IR in Transgender Adolescents,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT05489159,include,Sleep and insulin-resistance outcomes are measured before and after testosterone or estradiol GAHT initiation.,
84,B05,2_dual_model_agreement,NCT05583058,Sex Hormone Overdose and Misuse in Chinese Transgender and Gender Non-conforming Population,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT05583058,include,Hormone overdose/misuse versus regular GAHT use is directly studied.,
85,B05,2_dual_model_agreement,NCT05587751,Evaluation of Gender-Affirming Treatments on Pulmonary Function in Transgender and Gender Diverse Patients,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT05587751,include,Pulmonary-function changes are evaluated in relation to masculinizing or feminizing hormone therapy.,
86,B05,2_dual_model_agreement,NCT05607303,Effect of Hormones on Frequency of Headache and Brain Structure and Function in Puberty,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT05607303,include,Headache and brain outcomes are measured before and after estrogen GAHT in transgender youth.,
87,B05,2_dual_model_agreement,NCT05649605,Early Mental Response - The EMRE Study,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT05649605,include,Early psychological effects of testosterone GAHT are directly tested in transgender men.,
88,B05,2_dual_model_agreement,NCT05663892,Drug-Drug Interaction Study in Trans Women Living With HIV,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT05663892,include,Drug-drug interactions between feminizing hormone therapy and HIV treatment are directly evaluated.,
89,B05,2_dual_model_agreement,NCT05787470,State of Hormones Impact Nociceptive Expression,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT05787470,include,Nociceptive and biologic outcomes are compared by testosterone/estradiol hormone status in a TGD population.,
90,B05,2_dual_model_agreement,NCT05865262,Protocol TRANS and QT Repolarization,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT05865262,include,Effects of masculinizing and feminizing GAHT on cardiac repolarization are directly studied.,
