review_order,review_batch,priority_tier,nct_id,brief_title,screening_basis,verification_focus,registry_url,human_screening,human_screening_reason,needs_deeper_review
21,B02,2_dual_model_agreement,NCT01292785,"Effects of Sex Steroid Hormones on Human Brain Function, Structure and Connectivity",Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT01292785,include,Hormone-induced brain changes are measured before and after testosterone/estradiol treatment.,
22,B02,2_dual_model_agreement,NCT02185274,Observational Study on Metabolism and Psychopathology in Transsexual Patients,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT02185274,include,Cross-sex hormone treatment effects on metabolic and psychological outcomes are explicit study aims.,
23,B02,2_dual_model_agreement,NCT02229617,Subcutaneous Testosterone Project,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT02229617,include,"Testosterone route, pharmacokinetics, and tolerability are directly compared in transgender men.",
24,B02,2_dual_model_agreement,NCT02518009,GEnder Dysphoria Treatment in Sweden,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT02518009,include,Participants are followed through testosterone/estrogen treatment with treatment-related physiologic outcomes measured.,
25,B02,2_dual_model_agreement,NCT02550431,Trans Health: Evaluation of Markers of Cardio-metabolic Health and Well-being in Transgender Youth,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT02550431,include,Cardiometabolic and body-composition outcomes are evaluated in relation to GAHT in transgender youth.,
26,B02,2_dual_model_agreement,NCT02715232,Effects of Sex Steroids on the Serotonin System,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT02715232,include,Brain serotonin outcomes are measured before and after testosterone/feminizing hormone treatment.,
27,B02,2_dual_model_agreement,NCT02983110,Sex Hormone Therapy and Mucosal Tissues,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT02983110,include,Sex-hormone therapy is an explicit pharmacologic exposure and hormone concentrations are measured.,
28,B02,2_dual_model_agreement,NCT03270969,A Pharmacokinetic Evaluation of Tenofovir/Emtricitabine as HIV Pre-Exposure Prophylaxis in Transgender Women,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT03270969,include,PrEP and feminizing hormone therapy interactions are directly evaluated in transgender women.,
29,B02,2_dual_model_agreement,NCT03557268,Pubertal Blockade and Hormone Therapy in Transgender Youth,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT03557268,include,Cardiometabolic outcomes are measured after initiation of testosterone GAHT in transgender youth.,
30,B02,2_dual_model_agreement,NCT03620734,Study to Determine Interaction Between the Use of Feminizing Hormone Therapy and Antiretroviral Agents Concomitantly Among Transgender Women,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT03620734,include,Drug-drug interactions between feminizing hormone therapy and antiretroviral agents are directly studied.,
31,B02,2_dual_model_agreement,NCT03637920,Sexuality in Transmen During Hormone and Operative Treatment,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT03637920,,,
32,B02,2_dual_model_agreement,NCT03651427,Cross-sex Hormone Therapy and Neuronal Plasticity,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT03651427,,,
33,B02,2_dual_model_agreement,NCT03652623,"Transgender Youth and PrEP: PK, Safety, Uptake & Adherence - PK Study",Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT03652623,,,
34,B02,2_dual_model_agreement,NCT03725280,Micro RNA Profile in the Ovarian Follicle Fluid of Transgender Men,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT03725280,,,
35,B02,2_dual_model_agreement,NCT03757117,Gender-Affirmative Transgender Care to Improve the HIV Treatment Cascade,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT03757117,,,
36,B02,2_dual_model_agreement,NCT03864913,Comparing Subcutaneous Testosterone to Intramuscular Testosterone in Gender Affirming Care of Transgender Male Adolescents,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT03864913,,,
37,B02,2_dual_model_agreement,NCT04028219,Transgender In Transition,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04028219,,,
38,B02,2_dual_model_agreement,NCT04036500,Transgender Estradiol,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04036500,,,
39,B02,2_dual_model_agreement,NCT04050371,Study of Truvada for HIV Pre Exposure Prophylaxis Using Daily Directly Observed Therapy to Look at Potential Interactions Between Truvada and Hormone Therapy,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04050371,,,
40,B02,2_dual_model_agreement,NCT04066283,Effects of Aging and Gender-Affirming Hormone Therapy on Vascular Endothelial Function and Metabolic Profiles in Transgender Women,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04066283,,,
