review_order,review_batch,priority_tier,nct_id,brief_title,screening_basis,verification_focus,registry_url,human_screening,human_screening_reason,needs_deeper_review
101,B06,2_dual_model_agreement,NCT06291675,"Gender-Affirming Hormone Therapy and Its Impact on Myocardial Mass and Cardiac Function, Heart, Liver and Pancreatic Fat Content",Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT06291675,include,"Cardiac, organ-fat, metabolic, and psychological outcomes are measured longitudinally during GAHT.",
102,B06,2_dual_model_agreement,NCT06351501,Evaluation of the Effectiveness of Hormonal Treatment in Adolescents Suffering From Gender Dysphoria,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT06351501,include,"Testosterone/estrogen GAHT timing is directly compared with effectiveness, safety, mental-health, body-composition, and bone outcomes.",
103,B06,2_dual_model_agreement,NCT06357130,Gynaecological Care for Transgender People in France in 2024.,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT06357130,include,Registered outcomes explicitly analyze knowledge of masculinizing hormone-treatment effects and fertility repercussions.,
104,B06,2_dual_model_agreement,NCT06450405,Androgen Effects on the Reproductive Neuroendocrine Axis,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT06450405,include,Reproductive neuroendocrine outcomes are measured before and during testosterone treatment in TGD participants.,
105,B06,2_dual_model_agreement,NCT06470906,Feasibility of an Oral Intervention for Sexual Health in Transgender Men,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT06470906,exclude,Testosterone is stable eligibility/background while the randomized intervention is probiotic versus placebo; GAHT is not an analyzed research variable.,
106,B06,2_dual_model_agreement,NCT06482385,Transmasculine Quality of Life and Sexual Function at Pre and Post Gender-affirming Hormonal Therapy,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT06482385,include,Quality-of-life and sexual-function outcomes are measured before and after testosterone GAHT initiation.,
107,B06,2_dual_model_agreement,NCT06487754,New-onset Chronic Pelvic Pain in Transgender People Using Testosterone Therapy: an Exploratory Qualitative Study.,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT06487754,include,Chronic pelvic pain appearing or changing after testosterone GAHT is the explicit subject of study.,
108,B06,2_dual_model_agreement,NCT06573177,Optimizing Individual Health Care for Young People With Gender Incongruence,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT06573177,include,Biologic and clinical outcomes are measured before and during cross-sex hormone treatment as well as puberty suppression.,
109,B06,2_dual_model_agreement,NCT06670053,"Puberty, Testosterone, and Brain Development",Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT06670053,include,Headache and brain-development outcomes are measured longitudinally before and after testosterone GAHT initiation.,
110,B06,2_dual_model_agreement,NCT06710496,HISTOLOGICAL RESULTS IN TRANSGENDER INDIVIDUALS ASSIGNED TO FEMALES AT BIRTH UNDERGOING GENDER AFFIRMATION SURGERY AND IN TESTOSTERONE THERAPY,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT06710496,include,Long-term testosterone GAHT effects on reproductive-organ histology are explicitly studied.,
111,B06,2_dual_model_agreement,NCT06774053,Swiss ProspectivE Cohort of TRAnsgender and Gender Diverse Individuals - The SPECTRA Study,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT06774053,include,Longitudinal cohorts explicitly include participants starting or already receiving GAHT with hormone levels and clinical outcomes followed.,
112,B06,2_dual_model_agreement,NCT06807580,Progesterone in Gender Affirming Hormone Therapy Study,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT06807580,include,Progesterone is directly randomized within feminizing GAHT and treatment-related outcomes are measured.,
113,B06,2_dual_model_agreement,NCT06816355,Exogenous Sex Hormones and PONV,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT06816355,include,Postoperative outcomes are explicitly compared by recent testosterone or estrogen exposure in transgender participants.,
114,B06,2_dual_model_agreement,NCT06939257,Pain Outcomes Associated With Exogenous Hormone Therapy in Adults,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT06939257,include,Chronic-pain and sensory outcomes are compared longitudinally in gender-minority adults initiating versus not using GAHT.,
115,B06,2_dual_model_agreement,NCT06987045,Trans and Non-binary Prostate-Specific Antigen Reference Interval Determination Study,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT06987045,exclude,GAHT/orchiectomy are eligibility and clinical context; registered PSA outcomes do not analyze results by GAHT exposure or regimen.,
116,B06,2_dual_model_agreement,NCT07092527,"Androgen Effects on the Reproductive Neuroendocrine Axis, 2025 Version",Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT07092527,include,Reproductive hormone secretion is measured before and during testosterone GAHT in TGD participants.,
117,B06,2_dual_model_agreement,NCT07128771,Cardiomodulatory Effects of Gender-Affirming Hormone Therapy,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT07128771,include,Cardiovascular and body-composition outcomes are followed from GAHT initiation through subsequent months.,
118,B06,2_dual_model_agreement,NCT07145281,"Comparing the Effects of Sublingual Estradiol Treatment Versus Oral Estradiol With Cyproterone Acetate (CPA) Treatment on The Coagulation System in Transgender Women: A Prospective, Controlled Cohort Study",Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT07145281,include,Sublingual versus oral estradiol-based feminizing regimens are directly compared for coagulation outcomes.,
119,B06,2_dual_model_agreement,NCT07148921,Perception of Pain During Gender Affirming Hormone Therapy,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT07148921,include,Pain and sensory thresholds are measured before and during testosterone or estradiol GAHT with hormone concentrations monitored.,
120,B06,2_dual_model_agreement,NCT07187947,Cardiovascular Health of Transgender Individuals During the Gender-affirming Pathway,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT07187947,include,Cardiovascular outcomes are explicitly studied across masculinizing and feminizing GAHT types and formulations.,
