review_order,review_batch,priority_tier,nct_id,brief_title,screening_basis,verification_focus,registry_url,human_screening,human_screening_reason,needs_deeper_review
1,B01,1_sol_promoted,NCT02119377,First Australian National Trans Mental Health Study,Flash human_review -> Sol likely_include,"Hormone-therapy use, desire, and uptake are explicit survey outcomes in a TGD population.",https://clinicaltrials.gov/study/NCT02119377,include,"Explicit TGD population; hormone-therapy use, desire, and uptake are registered study outcomes.",
2,B01,1_sol_promoted,NCT03060785,Finding the Right Tenofovir/Emtricitabine Regimen for Pre-Exposure Prophylaxis (PrEP) in Transgender Women,Flash human_review -> Sol likely_include,PrEP pharmacokinetics are compared in transgender women using feminizing hormones and cisgender men not using hormones.,https://clinicaltrials.gov/study/NCT03060785,include,Explicit transgender population; PrEP pharmacokinetics are compared by feminizing-hormone exposure.,
3,B01,1_sol_promoted,NCT03120936,The Stay Study: A Demonstration Project Advancing PrEP Delivery in the San Francisco Bay Area Transgender Community,Flash human_review -> Sol likely_include,The registry explicitly measures effects of PrEP on hormone concentrations and effects of hormone status on PrEP pharmacology.,https://clinicaltrials.gov/study/NCT03120936,include,Explicit transgender population; registered outcomes directly assess effects of PrEP on hormone levels and hormone use on PrEP concentrations.,
4,B01,1_sol_promoted,NCT03220152,Implementation of PrEP to HIV in Brazilian Transgender Women,Flash human_review -> Sol likely_include,FTC/TDF pharmacokinetics are explicitly compared between transgender participants using and not using hormones.,https://clinicaltrials.gov/study/NCT03220152,include,Explicit transgender population; FTC/TDF pharmacokinetics are compared between participants using and not using hormones.,
5,B01,1_sol_promoted,NCT03293771,Transgender Post-reassignment Urogynecologic Measures and Perceptions,Flash human_review -> Sol likely_include,Postoperative symptoms are explicitly analyzed by hormone-therapy use in the TGD study population.,https://clinicaltrials.gov/study/NCT03293771,include,Explicit TGD population; postoperative symptoms are explicitly analyzed in relation to hormone-therapy use.,
6,B01,1_sol_promoted,NCT03465852,HIV Prevention Among Latina Transgender Women Who Have Sex With Men: Evaluation of a Locally Developed Intervention,Flash human_review -> Sol likely_include,The intervention promotes medically supervised hormone therapy and hormone-therapy uptake is an explicit outcome.,https://clinicaltrials.gov/study/NCT03465852,include,Explicit transgender population; medically supervised hormone-therapy uptake is an explicit intervention target/outcome.,
7,B01,1_sol_promoted,NCT03595956,Transgender Cohort Study of Gender Affirmation and HIV-related Health,Flash human_review -> Sol likely_include,"Medical gender affirmation, defined to include hormones and/or surgery versus neither, is an explicit exposure linked to HIV outcomes.",https://clinicaltrials.gov/study/NCT03595956,include,Hormone-based medical gender affirmation is an explicit exposure linked to health outcomes.,
8,B01,1_sol_promoted,NCT04448418,The Impact of COVID-19 Outbreak on Trans-population's Health in Italy,Flash human_review -> Sol likely_include,Satisfaction with telemedicine monitoring of hormone treatment is an explicit study outcome.,https://clinicaltrials.gov/study/NCT04448418,include,Monitoring and continuation of hormone treatment are explicit study outcomes in the telemedicine evaluation.,
9,B01,1_sol_promoted,NCT04491422,Same-Day PrEP Initiation and Sexual Health for Transgender Women,Flash human_review -> Sol likely_include,The registry explicitly studies how feminizing hormone therapy influences PrEP use and adherence.,https://clinicaltrials.gov/study/NCT04491422,include,Feminizing hormone therapy is explicitly analyzed as a factor influencing PrEP use/adherence.,
10,B01,1_sol_promoted,NCT04867798,Transgender Men and HIV in Uganda: PrEP Uptake and Persistence,Flash human_review -> Sol likely_include,Masculinizing hormone use and concerns about hormone-PrEP interactions are explicit variables in the HIV/PrEP project.,https://clinicaltrials.gov/study/NCT04867798,include,Masculinizing hormone use and hormone-PrEP interaction concerns are explicit study variables.,
